"Time","sensor.euler_x","sensor.euler_y","sensor.euler_z","sensor.linearAccel_x","sensor.linearAccel_y","sensor.linearAccel_z","sensor.vAcc","sensor.hAcc","sensor.sAcc","sensor.headAcc","sensor.lon","sensor.lat","sensor.hMSL","sensor.velN","sensor.velE","sensor.velD","sensor.gSpeed","sensor.headMot","sensor.FL","sensor.FR","sensor.RL"
1659196060000,-5.2704657936,-2.23714800832,345.54839599999997,0.034438918799999996,0.00806565888,0.00065324916,21279426,30093654.4,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196065000,-5.239808368680001,-2.1659489154800005,345.32141966800003,0.03388669804,0.008262106439999998,0.0008592990000000002,21287840.8,30105553.68,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196070000,-5.1690141296,-2.2563531016800003,345.15553102000007,0.03533966812000001,0.0089041318,0.00105240904,21296721.84,30118113.52,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196075000,-5.513637275680001,-1.6812841654000004,344.671695552,0.02787203228,0.00361000884,0.0009495729599999998,21306068.48,30131331.6,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196080000,-5.68129570004,-1.0445671439199997,343.416723632,0.02112395512,0.00271628428,0.00074051092,21315879.68,30145206.88,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196085000,-5.4533778762799985,-0.9546694660800001,342.34978638800004,0.019298048519999996,0.005489989760000001,0.0011749876400000002,21326155.36,30159739.2,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196090000,-5.275288810639999,-0.7826555204800001,341.90779296,0.018273609280000002,0.007245887959999999,0.0016448847200000003,21336895.36,30174927.28,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196095000,-5.30352733616,-0.6192944192400001,341.878891608,0.015380766560000002,0.00732892608,0.0012593063600000005,21348098.24,30190770.72,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196100000,-5.338896366307692,-0.5456023100384616,341.9619293153846,0.014524679576923077,0.00564104926923077,0.0007097581923076921,21359763.12,30207267.04,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196105000,-5.396079883680001,-0.57999771356,342.1573901439999,0.014868627160000002,0.00584258812,0.0012366038,21371889.76,30224416.88,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196110000,-5.459596614680001,-0.6492572903199999,342.3639660679999,0.01572031152,0.00556600204,0.0011189575600000002,21383963.47826087,30241491.652173914,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196115000,-5.389542388919999,-0.6991071916,342.685512684,0.016430234519999996,0.00601712236,0.0011348618400000001,21396998,30259925.333333332,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196120000,-5.4052554511999995,-0.6235806203200001,343.0704992719999,0.015027189559999996,0.005512888599999999,0.00096746028,21411031.76,30279772.4,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196125000,-5.413182621,-0.6816267013999999,343.58104370399997,0.0157554678,0.005361714599999999,0.0012261818800000002,21424997.12,30299522.08,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196130000,-5.58952905664,-0.6932340361600001,343.398828124,0.01602704848,0.003162305319999999,0.001082641,21439419.76,30319918.4,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196135000,-5.55255834576,-0.63886712796,343.176689444,0.015473635440000005,0.0037071695199999994,0.0009826047600000002,21454298.16,30340959.92,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196140000,-5.48479637152,-0.6542610240000001,343.019045416,0.015818297679999996,0.0044445518800000005,0.0007249821200000002,21469631.44,30362644.72,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196145000,-5.444400730200001,-0.8159287142400001,342.731909176,0.017105143320000002,0.00523443576,0.0010341761600000002,21485419.36,30384972.08,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196150000,-5.400520877839998,-0.8810974643999999,342.366405032,0.01840376224,0.00543597044,0.0010451616799999998,21501662.72,30407943.44,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196155000,-5.42457826608,-0.6783597278400001,342.36178589200006,0.016094004040000002,0.00398211972,0.00131656224,21518357.36,30431553.52,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196160000,-5.40154573444,-0.6998256683199999,342.34405273600004,0.015632360520000003,0.00567831048,0.0012661833200000002,21535503.04,30455801.36,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196165000,-5.297699318,-0.86231003764,342.70623779199997,0.017332527880000004,0.00693345144,0.0012824732799999999,21553097.36,30480683.04,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196170000,-5.401876544999999,-0.82598251344,342.93804931599993,0.01796099216,0.005555611119999999,0.0009059449199999999,21571142.24,30506202.56,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196175000,-5.37881555544,-0.7591968894000002,343.2346838280001,0.016910694759999997,0.006014908479999998,0.00150357276,21589636.32,30532356.8,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196180000,-5.48035816192,-0.6448264074,343.53742065599994,0.015414618480000001,0.00481692872,0.0011384673199999998,21608575.92,30559141.68,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196185000,-5.453207969679999,-0.7278045868399999,343.87425415199993,0.016186190839999996,0.005145660400000001,0.00110160788,21627961.36,30586557.04,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196190000,-5.49921047212,-0.85117384676,343.958170156,0.01789101304,0.00465119356,0.0007097556399999999,21647392,30614036,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196195000,-5.578333034599999,-0.7592629766799999,344.00378296400004,0.01713953408,0.00388333256,0.00104786036,21667659.230769232,30642697.692307692,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196200000,-5.5189599419199995,-0.81916004648,343.99925171200005,0.017579748840000003,0.0044272771999999995,0.00110409152,21688783.28,30672571.84,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
